regiao,concelho_id,concelho,freguesia_id,freguesia,tipologia,estado,agregacao,janela_temporal,periodo_referencia,n,p5,p25,media,p75,p95,fonte_ficheiro
AM Lisboa,150200,Alcochete,150201,Alcochete,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,952.0,1314.0,2561.0,3513.0,5318.0,AML.xlsx
AM Lisboa,150200,Alcochete,150201,Alcochete,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,951.0,1150.0,2333.0,3254.0,4311.0,AML.xlsx
AM Lisboa,150200,Alcochete,150201,Alcochete,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,3192.0,,,AML.xlsx
AM Lisboa,150200,Alcochete,150201,Alcochete,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,4070.0,,,AML.xlsx
AM Lisboa,150200,Alcochete,150201,Alcochete,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,952.0,1769.0,2663.0,3560.0,5642.0,AML.xlsx
AM Lisboa,150200,Alcochete,150201,Alcochete,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,952.0,1314.0,2391.0,3424.0,4269.0,AML.xlsx
AM Lisboa,150200,Alcochete,150203,S Francisco,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,3210.0,,,AML.xlsx
AM Lisboa,150200,Alcochete,150202,Samouco,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,2771.0,,,AML.xlsx
AM Lisboa,150200,Alcochete,150202,Samouco,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,,,2771.0,,,AML.xlsx
AM Lisboa,150200,Alcochete,150202,Samouco,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,2721.0,,,AML.xlsx
AM Lisboa,150200,Alcochete,150202,Samouco,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,,,2771.0,,,AML.xlsx
AM Lisboa,150200,Alcochete,0,Total,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,952.0,1804.0,2624.0,3427.0,4438.0,AML.xlsx
AM Lisboa,150200,Alcochete,0,Total,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,952.0,1752.0,2452.0,3358.0,4198.0,AML.xlsx
AM Lisboa,150200,Alcochete,0,Total,Moradia,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,3416.0,,,AML.xlsx
AM Lisboa,150200,Alcochete,0,Total,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,2176.0,3130.0,3846.0,,AML.xlsx
AM Lisboa,150200,Alcochete,0,Total,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,3842.0,,,AML.xlsx
AM Lisboa,150200,Alcochete,0,Total,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,970.0,1898.0,2727.0,3560.0,4984.0,AML.xlsx
AM Lisboa,150200,Alcochete,0,Total,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,954.0,1808.0,2477.0,3391.0,4141.0,AML.xlsx
AM Lisboa,150300,Almada,150303,Costa da Caparica,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2816.0,3574.0,4490.0,5408.0,6229.0,AML.xlsx
AM Lisboa,150300,Almada,150303,Costa da Caparica,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2816.0,3574.0,4490.0,5408.0,6229.0,AML.xlsx
AM Lisboa,150300,Almada,150303,Costa da Caparica,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,4311.0,,,AML.xlsx
AM Lisboa,150300,Almada,150303,Costa da Caparica,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2723.0,3463.0,4471.0,5455.0,6194.0,AML.xlsx
AM Lisboa,150300,Almada,150303,Costa da Caparica,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2720.0,3460.0,4450.0,5408.0,6201.0,AML.xlsx
AM Lisboa,150300,Almada,0,Total,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,3292.0,4080.0,4602.0,4923.0,7399.0,AML.xlsx
AM Lisboa,150300,Almada,0,Total,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2068.0,2924.0,3584.0,4106.0,5629.0,AML.xlsx
AM Lisboa,150300,Almada,0,Total,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2008.0,2860.0,3433.0,3913.0,5207.0,AML.xlsx
AM Lisboa,150300,Almada,0,Total,Moradia,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,1526.0,2913.0,3901.0,4371.0,8712.0,AML.xlsx
AM Lisboa,150300,Almada,0,Total,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1295.0,2113.0,3077.0,3872.0,5587.0,AML.xlsx
AM Lisboa,150300,Almada,0,Total,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1232.0,2085.0,2890.0,3571.0,4893.0,AML.xlsx
AM Lisboa,150300,Almada,0,Total,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,2333.0,3889.0,4447.0,4830.0,7442.0,AML.xlsx
AM Lisboa,150300,Almada,0,Total,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1834.0,2827.0,3500.0,4080.0,5608.0,AML.xlsx
AM Lisboa,150300,Almada,0,Total,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1821.0,2741.0,3349.0,3850.0,5189.0,AML.xlsx
AM Lisboa,150300,Almada,150312,UF Almada e Cova da Piedade,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,4024.0,5782.0,7404.0,,AML.xlsx
AM Lisboa,150300,Almada,150312,UF Almada e Cova da Piedade,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2232.0,2989.0,3666.0,4024.0,5761.0,AML.xlsx
AM Lisboa,150300,Almada,150312,UF Almada e Cova da Piedade,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2030.0,2971.0,3527.0,3925.0,5155.0,AML.xlsx
AM Lisboa,150300,Almada,150312,UF Almada e Cova da Piedade,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,3953.0,5551.0,7380.0,,AML.xlsx
AM Lisboa,150300,Almada,150312,UF Almada e Cova da Piedade,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2260.0,2988.0,3659.0,4012.0,5728.0,AML.xlsx
AM Lisboa,150300,Almada,150312,UF Almada e Cova da Piedade,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2067.0,2970.0,3524.0,3927.0,5145.0,AML.xlsx
AM Lisboa,150300,Almada,150313,UF Caparica e Trafaria,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,3856.0,4080.0,4436.0,4649.0,5727.0,AML.xlsx
AM Lisboa,150300,Almada,150313,UF Caparica e Trafaria,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2085.0,2819.0,3420.0,4080.0,5196.0,AML.xlsx
AM Lisboa,150300,Almada,150313,UF Caparica e Trafaria,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2033.0,2555.0,3013.0,3240.0,4193.0,AML.xlsx
AM Lisboa,150300,Almada,150313,UF Caparica e Trafaria,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,1658.0,2346.0,2763.0,,AML.xlsx
AM Lisboa,150300,Almada,150313,UF Caparica e Trafaria,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,,1658.0,2346.0,2763.0,,AML.xlsx
AM Lisboa,150300,Almada,150313,UF Caparica e Trafaria,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,3856.0,4080.0,4436.0,4649.0,5727.0,AML.xlsx
AM Lisboa,150300,Almada,150313,UF Caparica e Trafaria,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1889.0,2555.0,3272.0,3996.0,5152.0,AML.xlsx
AM Lisboa,150300,Almada,150313,UF Caparica e Trafaria,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1672.0,2500.0,2892.0,3238.0,4055.0,AML.xlsx
AM Lisboa,150300,Almada,150314,UF Charneca de Caparica e Sobreda,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,4840.0,,,AML.xlsx
AM Lisboa,150300,Almada,150314,UF Charneca de Caparica e Sobreda,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2333.0,2893.0,3549.0,3934.0,6249.0,AML.xlsx
AM Lisboa,150300,Almada,150314,UF Charneca de Caparica e Sobreda,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2259.0,2855.0,3403.0,3834.0,4758.0,AML.xlsx
AM Lisboa,150300,Almada,150314,UF Charneca de Caparica e Sobreda,Moradia,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,2692.0,3850.0,4128.0,,AML.xlsx
AM Lisboa,150300,Almada,150314,UF Charneca de Caparica e Sobreda,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1412.0,2100.0,3099.0,3835.0,5844.0,AML.xlsx
AM Lisboa,150300,Almada,150314,UF Charneca de Caparica e Sobreda,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1279.0,2048.0,2905.0,3547.0,4921.0,AML.xlsx
AM Lisboa,150300,Almada,150314,UF Charneca de Caparica e Sobreda,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,1555.0,3012.0,4147.0,5122.0,8612.0,AML.xlsx
AM Lisboa,150300,Almada,150314,UF Charneca de Caparica e Sobreda,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1687.0,2587.0,3308.0,3889.0,5888.0,AML.xlsx
AM Lisboa,150300,Almada,150314,UF Charneca de Caparica e Sobreda,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1687.0,2500.0,3152.0,3810.0,4752.0,AML.xlsx
AM Lisboa,150300,Almada,150315,UF Laranjeiro e Feijó,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,2614.0,4064.0,4147.0,4298.0,5049.0,AML.xlsx
AM Lisboa,150300,Almada,150315,UF Laranjeiro e Feijó,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1828.0,2644.0,3258.0,3968.0,4629.0,AML.xlsx
AM Lisboa,150300,Almada,150315,UF Laranjeiro e Feijó,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1769.0,2506.0,3031.0,3464.0,4252.0,AML.xlsx
AM Lisboa,150300,Almada,150315,UF Laranjeiro e Feijó,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,2936.0,,,AML.xlsx
AM Lisboa,150300,Almada,150315,UF Laranjeiro e Feijó,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,,,2735.0,,,AML.xlsx
AM Lisboa,150300,Almada,150315,UF Laranjeiro e Feijó,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,2661.0,3998.0,4139.0,4296.0,5035.0,AML.xlsx
AM Lisboa,150300,Almada,150315,UF Laranjeiro e Feijó,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1797.0,2614.0,3243.0,3962.0,4613.0,AML.xlsx
AM Lisboa,150300,Almada,150315,UF Laranjeiro e Feijó,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1702.0,2471.0,3017.0,3472.0,4345.0,AML.xlsx
AM Lisboa,111500,Amadora,111512,Alfragide/Águas Livres,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,3975.0,,,AML.xlsx
